uniprot	pca0	pca1	pca2	pca3	pca4	pca5
S31A5	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
RTL8C	2.309590612196165	1.4231416923718885	1.706012084792122	1.598772504203433	2.1003673358037216	2.1340350094640925
SCOT1	2.4912018023419176	1.562436663232123	2.4478838523134194	2.1630156947718757	2.157750311614145	2.8832716789885877
SFPA2	1.635172288708274	1.5997009225131318	1.0988562904034003	3.2201063065522657	1.6824194620952662	2.8486855081358375
SFI1	2.5752620408422526	1.5257753881218368	2.0187272943941053	2.2273149876215577	2.6453250569837716	1.045758592945149
SF3A1	3.1521316465582565	2.4248698413921796	2.5000444945155356	2.5828810273536114	1.4031109976579788	2.227893110804932
SPEM3	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
SLIK5	0.7308094151158746	2.5191268397971314	1.785412066794172	2.0834420513399836	2.210781904760209	1.8009926931981288
SPEM2	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
SNX31	2.2470257777998004	1.4458869840246829	1.8488225812781947	1.5501905468749242	2.1216514298410503	2.143805048368442
SOX30	3.2227421285162015	2.4978847151164705	1.7721150862949422	1.6031177723481478	1.3825289035013983	1.3657728223491903
SOX	2.42697231543382	1.412887476572196	1.9359887098613	1.7260658845877275	1.9910191323020598	2.364965934796892
SPOPL	2.593035460735711	1.7336367209535104	1.7383004647608364	1.5904849931506413	1.7864206617479135	2.0246279753764327
SLUR1	1.8273610723874492	1.4672908855500335	1.0194048993201317	2.7962405926732785	1.8965751036507332	2.558663986503093
SOX12	3.05568015705641	2.5988637110624135	1.4449419039260158	1.3215285746322065	1.1771984992940392	1.8203376411497119
SFXN3	1.2234399164104808	2.09994606542701	2.7924665627817005	1.1734237984042055	2.0841548140399095	2.457923159131959
SOST	1.5177905854706188	1.609955138312824	0.8688796653342223	3.0928129261679715	1.7917676655969281	2.617754582803038
SG2A2	1.749935727061514	1.4933140048055775	0.9847578159455992	2.563735387602614	1.867683394652611	2.354056203209939
SMAD1	3.858260282625954	3.4083171298127084	2.4067019323069903	2.301922085076732	1.7881611487263773	2.2563768157978767
SHQ1	2.760097432195503	1.6326577250075673	2.0654736471297626	1.8720741908665828	1.9917510659552728	1.5700631565759111
SH2B1	2.5255297520331648	1.960259807035538	2.851370720402631	2.2155272376825077	1.9084982569455087	1.6388057621605017
SMOC1	1.6958923447384895	2.191513405344956	0.6573345535747546	3.3816051550004183	2.5681823405657402	2.42171928152565
SKP2	3.2159989091202483	2.1719169337786384	2.7672506257029448	2.7844566679369738	1.796445345090178	1.655995295192409
SHSA8	0.6708551300361056	2.2637436054212303	1.9096224538102553	1.835718990130098	1.9487261804011125	2.241991959016213
SKI	2.980100939499497	2.271260443747595	2.4027543883494853	2.5867522030240018	1.7618765963043295	1.999095132596479
STPG3	2.309590612196165	1.4231416923718885	1.706012084792122	1.598772504203433	2.1003673358037216	2.1340350094640925
ST7L	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
SPT4H	3.390853928161131	3.228411074179169	1.4946396812146594	1.5358029752511912	2.337023936813103	2.505528557951159
SRP54	2.756203843058966	1.649815811537833	2.347475583458553	2.171943415030067	2.226059674587797	2.2256221409968977
STAG1	2.9752565029280515	2.224562444184779	2.503149133520046	2.3832697590727037	1.2766181793421845	2.6699234670151326
ST7	1.0172975767019745	2.371727219577859	2.710846542404915	1.8625367864693714	1.8657525219470292	2.3307815773123486
SRAC1	1.1252605178780342	2.15673772780637	2.581352847999751	1.231133890228906	2.2226369054820436	2.5293601938870838
STRP1	2.75310950731691	1.421650061914593	2.755125005075021	2.424780447221702	2.0347786447003404	2.078027215898369
SRCH	2.3412528914566604	1.7900244751678418	1.764503834870968	2.653928498910111	2.122254934998744	1.9394983251538709
SSH3	3.082446065183836	1.6657976384594873	2.8724930401619617	2.5862829026281555	1.8738201287573097	1.9137009057878716
SRTD1	2.7558021964112513	2.218455537977167	1.6143855641732732	1.536883525033184	1.4596731152342919	2.0921959321708887
SYAC	3.1738427156721523	2.2179785938689824	3.041379066617872	2.9344810616895756	2.935842313125783	3.1953964085887074
SPRE3	1.9586081331216736	2.0886124090925238	2.7149170252480426	2.215219862248371	1.8308603957094653	2.0926556306597903
SYF1	3.094546703079068	2.3955133750565722	2.2380110192860982	2.290688882843073	1.5477194150309779	1.8982206932046974
TGM2	2.3945694785970364	2.5118112825243326	2.948089131812356	3.383572691690727	2.350913370050633	2.800437304291836
TDRP	2.760097432195503	1.6326577250075673	2.0654736471297626	1.8720741908665828	1.9917510659552728	1.5700631565759111
TFAP4	3.4973946396413	3.3003510473007753	1.9767093086115368	2.186631228450882	0.9032370387057667	1.7926718512454114
TCAL6	3.078831997190072	2.4543035389406076	2.03458942931149	1.8254807083402467	1.1705978992828552	2.0220406187854447
TINAL	1.5173297407833992	1.565133516944016	0.7600087882766164	2.9174077528546993	1.7655529630552877	2.3857925670781217
TCEA1	3.908537505955888	3.928816929451776	2.0529330603755844	2.066355799069974	1.6460364600678385	2.8847851561312092
TET5B	2.330835532857718	1.4397398565277943	1.7967790847305996	1.624611869248796	2.2530184291872537	2.3705262495772677
TCPZ	3.037005617617958	1.6985744438667045	3.183875760319	2.8049445486408033	1.858629976910133	2.7170948006616884
THAP6	2.8473143010319792	2.514835454963142	1.4141471049572685	1.5478729267321003	3.094799142606866	2.4076451736767046
TBX4	3.215216222166927	2.7534269137195624	2.045775893828416	1.9140591128635116	1.041842310026601	2.219925756776627
TBX21	3.437440354561531	3.044967812924874	2.10091969562762	1.9389081672409965	0.6411813143466703	2.2336711170634955
TEN1	1.4246241165443805	3.621080718532767	2.7543871955202484	2.8070881150291966	1.5405694856469268	0.7561246704922646
TISR	2.309590612196165	1.4231416923718885	1.706012084792122	1.598772504203433	2.1003673358037216	2.1340350094640925
TCP11	1.1656680328567708	2.1066341979248127	2.4448568019267465	1.2205582253699174	2.1960213199137315	1.9783510214882563
